,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_,_,_
294,2015Hyundai i20 Asta 1.2,hyundai,6.25 Lakh*,2015,Dealer,"59,000 kms",Second Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Torque114.7Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
295,2017Hyundai Creta 1.6 CRDi AT SX Plus,hyundai,13.85 Lakh*,2017,Dealer,"37,818 kms",First Owner,Diesel,Automatic,Mileage17.01 kmpl,Engine1582 CC,Max Power126.2 bhp,Torque259.9Nm@ 1900-2750rpm,Wheel SizeN/A,Seats5,,,
296,2010Hyundai i20 Sportz 1.2,hyundai,3.45 Lakh*,2010,Dealer,"80,000 kms",Second Owner,Petrol,Manual,Mileage18.5 kmpl,Engine1197 CC,Max Power82.85 bhp,Torque113.7Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
297,2011Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,hyundai,3.65 Lakh*,2011,Dealer,"80,000 kms",First Owner,Diesel,Manual,Mileage22.54 kmpl,Engine1396 CC,Max Power88.73 bhp,Torque219.7Nm@ 1500-2750rpm,Wheel SizeN/A,Seats5,,,
298,2012Hyundai i20 1.2 Asta with AVN,hyundai,5.35 Lakh*,2012,Dealer,"47,000 kms",First Owner,Petrol,Manual,Mileage17.0 kmpl,Engine1197 CC,Max Power80 bhp,"Torque11.4 kgm at 4,000 rpm",Wheel SizeN/A,Seats5,,,
299,2015Hyundai Grand i10 Asta Option AT,hyundai,5.75 Lakh*,2015,Dealer,"60,000 kms",First Owner,Petrol,Automatic,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Torque114Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
300,2019Hyundai Verna 1.6 SX VTVT (O) AT,hyundai,13.5 Lakh*,2019,Dealer,"4,000 kms",First Owner,Petrol,Automatic,Mileage17.1 kmpl,Engine1591 CC,Max Power121.4 bhp,Torque154.9Nm@ 4200rpm,Wheel SizeN/A,Seats5,,,
301,2019Hyundai i20 Sportz Option 1.2,hyundai,7.97 Lakh*,2019,Dealer,"16,159 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.83 bhp,Torque114.7Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
302,2018Hyundai Grand i10 1.2 Kappa Sportz AT,hyundai,6.95 Lakh*,2018,Dealer,"10,652 kms",First Owner,Petrol,Automatic,Mileage18.9 kmpl,Engine1197 CC,Max Power81.86 bhp,Torque113.75nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
303,2016Hyundai EON Era Plus,hyundai,3.15 Lakh*,2016,Dealer,"37,000 kms",Second Owner,Petrol,Manual,Mileage21.1 kmpl,Engine814 CC,Max Power55.2 bhp,Torque74.5Nm@ 4000rpm,Wheel Size12,Seats5,,,
304,2019Hyundai Elantra CRDi SX,hyundai,17.99 Lakh*,2019,Dealer,"5,455 kms",First Owner,Diesel,Manual,Mileage22.7 kmpl,Engine1582 CC,Max Power126.2 bhp,Torque259.88Nm@ 1900-2750rpm,Wheel SizeN/A,Seats5,,,
305,2019Hyundai Grand i10 1.2 Kappa Sportz BSIV,hyundai,6.76 Lakh*,2019,Dealer,"3,848 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power81.86 bhp,Torque113.75nm@ 4000rpm,Wheel Size14,Seats5,,,
306,2010Hyundai i10 Magna 1.2 iTech SE,hyundai,3.35 Lakh*,2010,Dealer,"47,000 kms",First Owner,Petrol,Manual,Mileage20.36 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque111.7Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
307,2014Hyundai EON 1.0 Era Plus,hyundai,3.1 Lakh*,2014,Dealer,"10,000 kms",Second Owner,Petrol,Manual,Mileage20.3 kmpl,Engine998 CC,Max Power68.05 bhp,Torque94.14Nm@ 3500rpm,Wheel Size13,Seats5,,,
308,2014Hyundai EON Era Plus,hyundai,3.09 Lakh*,2014,Dealer,"10,000 kms",Second Owner,Petrol,Manual,Mileage21.1 kmpl,Engine814 CC,Max Power55.2 bhp,Torque74.5Nm@ 4000rpm,Wheel Size12,Seats5,,,
309,2014Hyundai EON 1.0 Era Plus,hyundai,3.1 Lakh*,2014,Dealer,"10,000 kms",Second Owner,Petrol,Manual,Mileage20.3 kmpl,Engine998 CC,Max Power68.05 bhp,Torque94.14Nm@ 3500rpm,Wheel Size13,Seats5,,,
310,2011Hyundai i10 Sportz AT,hyundai,3.75 Lakh*,2011,Dealer,"75,000 kms",First Owner,Petrol,Automatic,Variant -  Sportz AT,Mileage16.95 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque111.8Nm@ 4000rpm,Wheel SizeN/A,Seats5,,
311,2015Hyundai EON Magna Plus,hyundai,3.3 Lakh*,2015,Dealer,"70,000 kms",First Owner,Petrol,Manual,Mileage21.1 kmpl,Engine814 CC,Max Power55.2 bhp,Torque74.5Nm@ 4000rpm,Wheel Size13,Seats5,,,
312,2009Hyundai i10 Sportz AT,hyundai,3.15 Lakh*,2009,Dealer,"76,600 kms",First Owner,Petrol,Automatic,Mileage16.95 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque111.8Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
313,2014Hyundai Verna SX,hyundai,6.3 Lakh*,2014,Dealer,"25,000 kms",Second Owner,Petrol,Manual,Variant -  SX,Mileage17.7 kmpl,Engine1497 CC,Max Power113.42 bhp,Torque144.15nm@ 4500rpm,Wheel SizeN/A,Seats5,,
314,2008Hyundai Santro Xing GLS,hyundai,2.25 Lakh*,2008,Dealer,"68,000 kms",Second Owner,Petrol,Manual,Mileage17.92 kmpl,Engine1086 CC,Max Power62.1 bhp,Torque96.1Nm@ 3000rpm,Wheel SizeN/A,Seats5,,,
315,2011Hyundai i10 Sportz 1.2,hyundai,3.49 Lakh*,2011,Dealer,"72,000 kms",Second Owner,Petrol,Manual,Mileage20.36 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque111.8Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
316,2011Hyundai i10 Sportz 1.2,hyundai,3.5 Lakh*,2011,Dealer,"72,000 kms",Second Owner,Petrol,Manual,Variant -  Sportz 1.2,Mileage20.36 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque111.8Nm@ 4000rpm,Wheel SizeN/A,Seats5,,
317,2007Hyundai Santro Xing GL,hyundai,1.85 Lakh*,2007,Dealer,"70,000 kms",Second Owner,Petrol,Manual,Mileage0.0 kmpl,Engine1086 CC,Max Power62 bhp,Torque96.1Nm@ 3000rpm,Wheel SizeN/A,Seats5,,,
318,2016Hyundai i20 Magna Plus,hyundai,6.45 Lakh*,2016,Dealer,"41,905 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power81.86 bhp,Torque117nm@ 4000rpm,Wheel Size14,Seats5,,,
319,2006Hyundai Santro Xing GLS AT,hyundai,1.85 Lakh*,2006,Dealer,"50,000 kms",Third Owner,Petrol,Automatic,Mileage17.8 kmpl,Engine1086 CC,Max Power63 bhp,"Torque9.8@ 3,000(kgm@ rpm)",Wheel SizeN/A,Seats5,,,
320,2009Hyundai i10 Magna,hyundai,2.95 Lakh*,2009,Dealer,"75,000 kms",First Owner,Petrol,Manual,Mileage20.36 kmpl,Engine1197 CC,Max Power78.9 bhp,Torque111.7Nm@ 4000rpm,Wheel SizeN/A,Seats5,,,
321,2007Hyundai Santro DX,hyundai,2.6 Lakh*,2007,Individual,"10,000 kms",First Owner,Petrol,Manual,Variant -  DX,Mileage0.0 kmpl,Engine999 CC,Max Powernull bhp,TorqueN/A,Wheel SizeN/A,Seats5,,
322,2016Hyundai Santa Fe 2WD MT,hyundai,18.25 Lakh*,2016,Dealer,"32,000 kms",First Owner,Diesel,Manual,Mileage14.74 kmpl,Engine2199 CC,Max Power194.3 bhp,Torque420.7Nm@ 1800-2500rpm,Wheel SizeN/A,Seats7,,,
323,2014Hyundai Santa Fe 2WD AT,hyundai,15.45 Lakh*,2014,Dealer,"80,854 kms",First Owner,Diesel,Automatic,Mileage13.01 kmpl,Engine2199 CC,Max Power194.3 bhp,Torque436.39Nm@ 1800-2500rpm,Wheel SizeN/A,Seats7,,,
324,2006Hyundai Accent GLE,hyundai,1.75 Lakh*,2006,Dealer,"76,000 kms",Second Owner,Petrol,Manual,Mileage13.2 kmpl,Engine1495 CC,Max Power94 bhp,"Torque12.5@ 3,500(kgm@ rpm)",Wheel Size13 x 5J,Seats5,,,
325,2018Volkswagen Polo 1.5 TDI Highline,Volkswagen,8.75 Lakh*,2018,Dealer,"15,000 kms",First Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88.8 bhp,Torque230Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
326,2017Volkswagen Ameo 1.5 TDI Comfortline,Volkswagen,5.6 Lakh*,2017,Dealer,"82,000 kms",First Owner,Diesel,Manual,Mileage21.66 kmpl,Engine1498 CC,Max Power108.62 bhp,Torque250Nm@ 1500-3000rpm,Wheel Size14,Seats5,,,
327,2011Volkswagen Passat 2.0 TDI AT Highline,Volkswagen,7.5 Lakh*,2011,Dealer,"1,35,000 kms",First Owner,Diesel,Automatic,Mileage17.42 kmpl,Engine1968 CC,Max Power175 bhp,Torque350Nm@ 1500-3500rpm,Wheel SizeN/A,Seats5,,,
328,2015Volkswagen Polo 2015-2019 1.5 TDI Highline,Volkswagen,5.95 Lakh*,2015,Dealer,"58,125 kms",First Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88 bhp,Torque230Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
329,2018Volkswagen Polo 2015-2019 GT TSI,Volkswagen,9.5 Lakh*,2018,Dealer,"26,000 kms",First Owner,Petrol,Automatic,Mileage17.21 kmpl,Engine1197 CC,Max Power103.5 bhp,Torque175Nm@ 1500-4100rpm,Wheel SizeN/A,Seats5,,,
330,2014Volkswagen Polo GT TSI,Volkswagen,6.25 Lakh*,2014,Dealer,"39,000 kms",Second Owner,Petrol,Automatic,Mileage17.2 kmpl,Engine1197 CC,Max Power103.6 bhp,Torque175Nm@ 1500-4100rpm,Wheel SizeN/A,Seats5,,,
331,2017Volkswagen Polo 2015-2019 GT TSI,Volkswagen,8.25 Lakh*,2017,Dealer,"48,149 kms",First Owner,Petrol,Automatic,Mileage17.21 kmpl,Engine1197 CC,Max Power103.5 bhp,Torque175Nm@ 1500-4100rpm,Wheel SizeN/A,Seats5,,,
332,2016Volkswagen Ameo 1.2 MPI Comfortline,Volkswagen,6.25 Lakh*,2016,Dealer,"7,000 kms",First Owner,Petrol,Manual,Mileage17.0 kmpl,Engine1198 CC,Max Power73.75 bhp,Torque110Nm@ 3750rpm,Wheel Size15,Seats5,,,
333,2013Volkswagen Polo GT TSI BSIV,Volkswagen,5.75 Lakh*,2013,Dealer,"55,915 kms",First Owner,Petrol,Automatic,Mileage0.0 kmpl,Engine1197 CC,Max Power103.25 bhp,Torque175nm@ 1500-4100rpm,Wheel SizeN/A,Seats5,,,
334,2017Volkswagen Ameo 1.2 MPI Highline 16 Alloy,Volkswagen,6.35 Lakh*,2017,Dealer,"9,095 kms",First Owner,Petrol,Manual,Mileage17.0 kmpl,Engine1198 CC,Max Power74 bhp,Torque110Nm@ 3750rpm,Wheel SizeN/A,Seats5,,,
335,2016Volkswagen Ameo 1.0 MPI Comfortline,Volkswagen,6 Lakh*,2016,Dealer,"7,000 kms",First Owner,Petrol,Manual,Mileage19.44 kmpl,Engine999 CC,Max Power75 bhp,Torque95Nm@ 3000-4300rpm,Wheel Size15,Seats5,,,
336,2017Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,6.25 Lakh*,2017,Dealer,"30,000 kms",First Owner,Petrol,Manual,Mileage16.2 kmpl,Engine1199 CC,Max Power74 bhp,Torque110Nm@ 3000-4300rpm,Wheel Size15,Seats5,,,
337,2018Volkswagen Polo Petrol Highline 1.2L,Volkswagen,7.85 Lakh*,2018,Dealer,"34,000 kms",First Owner,Petrol,Manual,Mileage16.47 kmpl,Engine1198 CC,Max Power73.9 bhp,Torque110Nm@ 3750rpm,Wheel SizeN/A,Seats5,,,
338,2012Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,3.75 Lakh*,2012,Dealer,"92,000 kms",First Owner,Diesel,Manual,Mileage22.07 kmpl,Engine1199 CC,Max Power73.9 bhp,Torque180Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
339,2012Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,3.5 Lakh*,2012,Dealer,"67,000 kms",Second Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88 bhp,Torque230Nm@ 1500-2500rpm,Wheel Size15,Seats5,,,
340,2016Volkswagen Polo 2015-2019 1.2 MPI Highline,Volkswagen,5.8 Lakh*,2016,Dealer,"66,160 kms",First Owner,Petrol,Manual,Mileage16.2 kmpl,Engine1199 CC,Max Power74 bhp,Torque110Nm@ 3000-4300rpm,Wheel SizeN/A,Seats5,,,
341,2014Volkswagen Polo GT TSI,Volkswagen,6.4 Lakh*,2014,Dealer,"66,000 kms",First Owner,Petrol,Automatic,Mileage17.2 kmpl,Engine1197 CC,Max Power103.6 bhp,Torque175Nm@ 1500-4100rpm,Wheel SizeN/A,Seats5,,,
342,2018Volkswagen Polo 2015-2019 GT TSI,Volkswagen,9.85 Lakh*,2018,Dealer,"26,193 kms",First Owner,Petrol,Automatic,Mileage17.21 kmpl,Engine1197 CC,Max Power103.5 bhp,Torque175Nm@ 1500-4100rpm,Wheel SizeN/A,Seats5,,,
343,2015Volkswagen Polo 2015-2019 GT TSI,Volkswagen,6.5 Lakh*,2015,Dealer,"56,000 kms",Second Owner,Petrol,Automatic,Mileage17.21 kmpl,Engine1197 CC,Max Power103.5 bhp,Torque175Nm@ 1500-4100rpm,Wheel SizeN/A,Seats5,,,
344,2016Volkswagen Polo 2015-2019 1.5 TDI Highline,Volkswagen,6.55 Lakh*,2016,Dealer,"63,000 kms",First Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88 bhp,Torque230Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
345,2015Volkswagen Polo GT TDI,Volkswagen,6.5 Lakh*,2015,Dealer,"68,000 kms",First Owner,Diesel,Manual,Mileage15.11 kmpl,Engine1598 CC,Max Power103.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size6Jx15 ,Seats5,,,
346,2013Volkswagen Vento 1.5 TDI Highline,Volkswagen,5.45 Lakh*,2013,Dealer,"70,000 kms",First Owner,Diesel,Manual,Mileage20.34 kmpl,Engine1498 CC,Max Power103.2 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
347,2014Volkswagen GTI 1.8 TSI,Volkswagen,6.85 Lakh*,2014,Dealer,"50,000 kms",First Owner,Petrol,Automatic,Mileage16.34 kmpl,Engine1798 CC,Max Power189.3 bhp,Torque250Nm@ 1250-5300rpm,Wheel SizeN/A,Seats5,,,
348,2016Volkswagen Vento 1.2 TSI Highline Plus AT,Volkswagen,9.65 Lakh*,2016,Dealer,"18,903 kms",First Owner,Petrol,Automatic,Mileage18.19 kmpl,Engine1197 CC,Max Power103.2 bhp,Torque175Nm@ 1500-4100rpm,Wheel SizeN/A,Seats5,,,
349,2012Volkswagen Vento 1.5 TDI Highline,Volkswagen,4.75 Lakh*,2012,Dealer,"67,000 kms",First Owner,Diesel,Manual,Mileage22.27 kmpl,Engine1498 CC,Max Power108.6 bhp,Torque250Nm@ 1500-3000rpm,Wheel SizeN/A,Seats5,,,
350,2010Volkswagen Polo Diesel Highline 1.2L,Volkswagen,3.1 Lakh*,2010,Dealer,"1,42,665 kms",Second Owner,Diesel,Manual,Mileage22.07 kmpl,Engine1199 CC,Max Power73.9 bhp,Torque180Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
351,2016Volkswagen Vento 1.5 TDI Highline,Volkswagen,7.1 Lakh*,2016,Dealer,"55,000 kms",First Owner,Diesel,Manual,Mileage20.34 kmpl,Engine1498 CC,Max Power103.2 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
352,2013Volkswagen Vento 1.6 Highline,Volkswagen,5.95 Lakh*,2013,Dealer,"38,000 kms",First Owner,Petrol,Manual,Mileage15.04 kmpl,Engine1598 CC,Max Power103.2 bhp,Torque153Nm@ 3800rpm,Wheel SizeN/A,Seats5,,,
353,2014Volkswagen Polo 1.5 TDI Highline,Volkswagen,5.1 Lakh*,2014,Dealer,"89,000 kms",Second Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88.8 bhp,Torque230Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
354,2017Volkswagen Vento 1.5 TDI Highline Plus,Volkswagen,9.5 Lakh*,2017,Dealer,"30,000 kms",First Owner,Diesel,Manual,Mileage20.64 kmpl,Engine1498 CC,Max Power108.49 bhp,Torque250Nm@ 1500-3000rpm,Wheel SizeN/A,Seats5,,,
355,2019Volkswagen Vento 1.2 TSI Highline Plus AT,Volkswagen,11.95 Lakh*,2019,Individual,"7,000 kms",First Owner,Petrol,Automatic,Mileage18.19 kmpl,Engine1197 CC,Max Power103.2 bhp,Torque175Nm@ 1500-4100rpm,Wheel SizeN/A,Seats5,,,
356,2015Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,5.15 Lakh*,2015,Dealer,"73,000 kms",Second Owner,Petrol,Manual,Mileage16.47 kmpl,Engine1198 CC,Max Power74 bhp,Torque110Nm@ 3750rpm,Wheel Size15,Seats5,,,
357,2019Volkswagen Polo 1.0 MPI Comfortline Plus,Volkswagen,6.9 Lakh*,2019,Dealer,"45,000 kms",First Owner,Petrol,Manual,Mileage17.75 kmpl,Engine999 CC,Max Power75.10 bhp,Torque95Nm@ 2950-3800rpm,Wheel SizeN/A,Seats5,,,
358,2011Volkswagen Polo 2015-2019 1.5 TDI Highline,Volkswagen,3.95 Lakh*,2011,Dealer,"72,000 kms",First Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88 bhp,Torque230Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
359,2013Volkswagen Vento Petrol Highline,Volkswagen,5.38 Lakh*,2013,Dealer,"50,000 kms",Second Owner,Petrol,Manual,Mileage15.04 kmpl,Engine1598 CC,Max Power103.6 bhp,Torque153Nm@ 3800rpm,Wheel SizeN/A,Seats5,,,
360,2011Volkswagen Vento 1.5 TDI Trendline,Volkswagen,4.25 Lakh*,2011,Dealer,"64,000 kms",First Owner,Diesel,Manual,Mileage20.34 kmpl,Engine1498 CC,Max Power103.2 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
361,2014Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,5.4 Lakh*,2014,Dealer,"52,000 kms",Second Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88.8 bhp,Torque230Nm@ 1500-2500rpm,Wheel Size15,Seats5,,,
362,2015Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,6.5 Lakh*,2015,Dealer,"34,000 kms",First Owner,Diesel,Manual,Mileage20.14 kmpl,Engine1498 CC,Max Power88.8 bhp,Torque230Nm@ 1500-2500rpm,Wheel Size15,Seats5,,,
363,2012Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,4.6 Lakh*,2012,Dealer,"80,000 kms",First Owner,Diesel,Manual,Mileage22.07 kmpl,Engine1199 CC,Max Power73.9 bhp,Torque180Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
364,2007Volkswagen Caraville 2.0 TDI,Volkswagen,17.5 Lakh*,2007,Dealer,"73,000 kms",Second Owner,Diesel,Automatic,Mileage10.0 kmpl,Engine1968 CC,Max Powernull bhp,TorqueN/A,Wheel SizeN/A,Seats7,,,
365,2018Volkswagen Passat Highline DSG,Volkswagen,30.45 Lakh*,2018,Dealer,"16,655 kms",First Owner,Diesel,Automatic,Mileage14.3 kmpl,Engine1968 CC,Max Power140 bhp,"Torque36.6@ 1,750-2,500(kgm@ rpm)",Wheel Size7 J x 16,Seats5,,,
366,2016Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,5.75 Lakh*,2016,Dealer,"45,000 kms",First Owner,Petrol,Manual,Mileage16.47 kmpl,Engine1198 CC,Max Power74 bhp,Torque110Nm@ 3750rpm,Wheel Size15,Seats5,,,
367,2015Volkswagen Vento 1.5 TDI Highline Plus,Volkswagen,6.95 Lakh*,2015,Dealer,"55,000 kms",First Owner,Diesel,Manual,Variant -  1.5 TDI Highline Plus,Mileage20.64 kmpl,Engine1498 CC,Max Power108.49 bhp,Torque250Nm@ 1500-3000rpm,Wheel SizeN/A,Seats5,,
368,2011Volkswagen Jetta 2.0L TDI Highline AT,Volkswagen,7.5 Lakh*,2011,Dealer,"84,000 kms",Second Owner,Diesel,Automatic,Variant -  2.0L TDI Highline AT,Mileage16.96 kmpl,Engine1968 CC,Max Power138.03 bhp,Torque320Nm@ 1750-2500rpm,Wheel SizeN/A,Seats5,,
369,2015Volkswagen Polo 2015-2019 GT TSI,Volkswagen,6.75 Lakh*,2015,Dealer,"46,000 kms",Second Owner,Petrol,Automatic,Mileage17.21 kmpl,Engine1197 CC,Max Power103.5 bhp,Torque175Nm@ 1500-4100rpm,Wheel SizeN/A,Seats5,,,
370,2010Volkswagen Phaeton 3.6,Volkswagen,25 Lakh*,2010,Dealer,"51,000 kms",First Owner,Petrol,Automatic,Mileage12.8 kmpl,Engine3597 CC,Max Power276 bhp,Torque370Nm@ 3500rpm,Wheel SizeN/A,Seats5,,,
371,2012Volkswagen Passat Diesel Comfortline 2.0 TDI,Volkswagen,12.25 Lakh*,2012,Dealer,"32,508 kms",Second Owner,Diesel,Manual,Variant -  Diesel Comfortline 2.0 TDI,Mileage18.33 kmpl,Engine1968 CC,Max Power167.7 bhp,Torque350Nm@ 1750-2500rpm,Wheel Size7J X 16 ,Seats5,,
372,2015Volkswagen Polo 1.0 MPI Comfortline Plus,Volkswagen,5.35 Lakh*,2015,Dealer,"74,000 kms",First Owner,Petrol,Manual,Variant -  1.0 MPI Comfortline Plus,Mileage17.75 kmpl,Engine999 CC,Max Power75.10 bhp,Torque95Nm@ 2950-3800rpm,Wheel SizeN/A,Seats5,,
373,2013Volkswagen Vento Diesel Highline,Volkswagen,5.25 Lakh*,2013,Dealer,"76,000 kms",First Owner,Diesel,Manual,Mileage20.54 kmpl,Engine1598 CC,Max Power103.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
374,2011Volkswagen Vento Petrol Highline AT,Volkswagen,4.45 Lakh*,2011,Dealer,"70,573 kms",Second Owner,Petrol,Automatic,Variant -  Petrol Highline AT,Mileage14.4 kmpl,Engine1598 CC,Max Power103.6 bhp,Torque153Nm@ 3800rpm,Wheel SizeN/A,Seats5,,
375,2015Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,5.5 Lakh*,2015,Dealer,"74,000 kms",Second Owner,Diesel,Manual,Variant -  1.5 TDI Comfortline,Mileage20.14 kmpl,Engine1498 CC,Max Power88 bhp,Torque230Nm@ 1500-2500rpm,Wheel Size15,Seats5,,
376,2013Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,4.75 Lakh*,2013,Dealer,"83,000 kms",Second Owner,Diesel,Manual,Mileage22.07 kmpl,Engine1199 CC,Max Power73.9 bhp,Torque180Nm@ 2000rpm,Wheel SizeN/A,Seats5,,,
377,2018Volkswagen Polo 2015-2019 1.0 MPI Highline,Volkswagen,7.95 Lakh*,2018,Dealer,"12,520 kms",First Owner,Petrol,Manual,Mileage18.78 kmpl,Engine999 CC,Max Power75 bhp,Torque95Nm@ 3000-4300rpm,Wheel SizeN/A,Seats5,,,
378,2013Volkswagen Vento 1.6 Comfortline,Volkswagen,4.15 Lakh*,2013,Dealer,"69,000 kms",First Owner,Petrol,Manual,Variant -  1.6 Comfortline,Mileage16.09 kmpl,Engine1598 CC,Max Power103.2 bhp,Torque153Nm@ 3800rpm,Wheel Size15,Seats5,,
379,2013Volkswagen Polo Petrol Highline 1.2L,Volkswagen,4.75 Lakh*,2013,Individual,"52,000 kms",First Owner,Petrol,Manual,Mileage16.47 kmpl,Engine1198 CC,Max Power73.9 bhp,Torque110Nm@ 3750rpm,Wheel SizeN/A,Seats5,,,
380,2018Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,6 Lakh*,2018,Individual,"40,000 kms",Second Owner,Petrol,Manual,Variant -  1.2 MPI Comfortline,Mileage16.2 kmpl,Engine1199 CC,Max Power74 bhp,Torque110Nm@ 3000-4300rpm,Wheel Size15,Seats5,,
381,2010Volkswagen Vento Diesel Highline,Volkswagen,3 Lakh*,2010,Individual,"1,00,000 kms",Second Owner,Diesel,Manual,Mileage20.54 kmpl,Engine1598 CC,Max Power103.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel SizeN/A,Seats5,,,
382,2018Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,Volkswagen,7.2 Lakh*,2018,Individual,"35,000 kms",First Owner,Petrol,Manual,Mileage16.2 kmpl,Engine1199 CC,Max Power74 bhp,Torque110Nm@ 3000-4300rpm,Wheel SizeN/A,Seats5,,,
383,2017Volkswagen Polo 2015-2019 GT 1.5 TDI,Volkswagen,8 Lakh*,2017,Individual,"45,000 kms",First Owner,Diesel,Manual,Mileage21.49 kmpl,Engine1498 CC,Max Power108.5 bhp,Torque250nm@ 1500-3000rpm,Wheel SizeN/A,Seats5,,,
384,2014Volkswagen Polo GT TDI,Volkswagen,6 Lakh*,2014,Individual,"56,000 kms",First Owner,Diesel,Manual,Mileage15.11 kmpl,Engine1598 CC,Max Power103.6 bhp,Torque250Nm@ 1500-2500rpm,Wheel Size6Jx15 ,Seats5,,,
385,2015Ford EcoSport 1.5 TDCi Trend BSIV,Ford,7.2 Lakh*,2015,Individual,"70,000 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel Size15,Seats5,,,
386,2014Ford Ecosport 1.5 Petrol Titanium,Ford,6.45 Lakh*,2014,Dealer,"15,500 kms",First Owner,Petrol,Manual,Mileage15.9 kmpl,Engine1496 CC,Max Power120.69 bhp,Torque149Nm@ 4500rpm,Wheel SizeN/A,Seats5,,,
387,2018Ford Ecosport 1.5 Diesel Titanium Plus,Ford,10.5 Lakh*,2018,Dealer,"16,500 kms",First Owner,Diesel,Manual,Mileage21.7 kmpl,Engine1498 CC,Max Power98.96 bhp,Torque215Nm@ 1750-2500rpm,Wheel SizeN/A,Seats5,,,
388,2015Ford Figo 1.2P Titanium MT,Ford,4.85 Lakh*,2015,Dealer,"24,804 kms",First Owner,Petrol,Manual,Variant -  1.2P Titanium MT,Mileage18.16 kmpl,Engine1196 CC,Max Power86.8 bhp,Torque112Nm@ 4000rpm,Wheel SizeN/A,Seats5,,
389,2018Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Ford,10.5 Lakh*,2018,Dealer,"16,456 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel SizeN/A,Seats5,,,
390,2018Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Ford,9.45 Lakh*,2018,Dealer,"29,000 kms",First Owner,Diesel,Manual,Mileage22.77 kmpl,Engine1498 CC,Max Power98.59 bhp,Torque205Nm@ 1750-3250rpm,Wheel SizeN/A,Seats5,,,
