,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_,_,_
68,2014Tata Indica Vista TDI LS,Tata,2.5 Lakh*,2014,Individual,"1,00,000 kms",First Owner,Diesel,Manual,Variant -  TDI LS,Mileage19.1 kmpl,Engine1405 CC,Max Power70 bhp,Torque135.4Nm@ 2500rpm,Wheel Size14,Seats5,,
69,2016Tata Safari Storme EX,Tata,10.5 Lakh*,2016,Individual,"25,000 kms",First Owner,Diesel,Manual,Mileage14.1 kmpl,Engine2179 CC,Max Power147.94 bhp,Torque320Nm@ 1500-3000rpm,Wheel Size16,Seats7,,,
70,2010Tata Indigo LX Dicor,Tata,2.1 Lakh*,2010,Dealer,"51,000 kms",First Owner,Diesel,Manual,Mileage17.1 kmpl,Engine1396 CC,Max Power70 bhp,"Torque14.1@ 1,800-3,000(kgm@ rpm)",Wheel SizeN/A,Seats5,,,
71,2012Tata Sumo EX,Tata,2 Lakh*,2012,Individual,"2,00,000 kms",First Owner,Diesel,Manual,Mileage15.3 kmpl,Engine2956 CC,Max Power83.8 bhp,Torque250Nm@ 1000-2000rpm,Wheel Size15,Seats7,,,
72,2010Tata Indigo LX Dicor,Tata,2.1 Lakh*,2010,Dealer,"51,000 kms",First Owner,Diesel,Manual,Mileage17.1 kmpl,Engine1396 CC,Max Power70 bhp,"Torque14.1@ 1,800-3,000(kgm@ rpm)",Wheel SizeN/A,Seats5,,,
73,2012Tata Sumo EX,Tata,2 Lakh*,2012,Individual,"2,00,000 kms",First Owner,Diesel,Manual,Mileage15.3 kmpl,Engine2956 CC,Max Power83.8 bhp,Torque250Nm@ 1000-2000rpm,Wheel Size15,Seats7,,,
74,2018Tata Tiago 2019-2020 XZA,Tata,5.75 Lakh*,2018,Individual,"18,020 kms",First Owner,Petrol,Automatic,Mileage23.84 kmpl,Engine1199 CC,Max Power83.83 bhp,Torque114Nm@ 3500rpm,Wheel Size14,Seats5,,,
75,2013Tata Nano LX,Tata,1.1 Lakh*,2013,Dealer,"61,000 kms",Second Owner,Petrol,Manual,Variant -  LX,Mileage25.4 kmpl,Engine624 CC,Max Power37.48 bhp,Torque51Nm@ 4000+/-500rpm,Wheel Size12,Seats4,,
76,2011Tata Manza Aqua Quadrajet BS IV,Tata,2.6 Lakh*,2011,Individual,"80,000 kms",Third Owner,Diesel,Manual,Mileage21.12 kmpl,Engine1248 CC,Max Power88.8 bhp,Torque200Nm@ 1750-3000rpm,Wheel Size5.5J x 15,Seats5,,,
77,2019Tata Tiago NRG Petrol,Tata,5.2 Lakh*,2019,Individual,"10,000 kms",First Owner,Petrol,Manual,Mileage24.0 kmpl,Engine1199 CC,Max Power83.81 bhp,Torque114Nm@ 3500rpm,Wheel SizeN/A,Seats5,,,
